MaleBonusPercent,FemaleBonusPercent,MaleTopQuartile,FemaleTopQuartile
0,0,64,36
96.2,93.2,64,52.3
11,16,64,66
1.2,0.6,64,46
0,0.6,64,54.2
30,26,64,30
0,0,64,52.3
5.5,3,64,72.5
25.1,21.8,64,38.2
0,0,64,80.1
94,32,64,4
100,100,64,18.2
100,100,64,32.2
0,0,64,60.3
0,0,64,40
14.7,13.8,64,43.3
33.3,26.1,64,43.4
71.4,81.3,64,15
0,0,64,74.6
90,94,64,41
0,0,64,58
63,69,64,42.9
11.9,10.9,64,14.3
2,1,,
66,73,64,36
0,0,36.4,63.6
17.7,6.3,83.6,16.4
75,25,73,27
75,25,73,27
86.8,79.7,62.2,37.8
43.5,5.6,29.1,70.9
65.3,53.1,81.6,18.4
11.3,13.8,88,12
84,83,66,34
9.1,16.2,7.7,92.3
2.4,19.5,95.2,4.8
48.5,31.3,63,37
22.7,21.7,83.4,16.6
0,0,86,14
34.5,56.8,78,22
0,0,30,70
2.3,3.7,51.4,48.6
11.5,13.1,62.7,37.3
56.2,51.7,52,48
42.4,43.4,50,50
83,75,59,41
4,5,33,67
0,1,57,43
0,0,42.1,57.9
0,0,14.4,85.6
11.8,25.4,70.7,29.3
0,0,54.7,45.3
0,0,25.5,74.5
8,4.4,13.8,86.2
78.4,69.5,83,17
88.1,86.8,74.4,25.6
86.4,85.9,53.4,46.6
37,40,63,37
31,31,82.5,17.5
3.9,3.3,84.1,15.9
96,92,85,15
10.6,15.2,27.3,72.7
19,12.7,38,62
15.8,12.1,75,25
91.4,88.4,48,52
90.1,84.9,71.8,28.2
2.5,2.8,91.2,8.8
0,0,74,26
90,92,71,29
1.4,0.4,19,81
0,0,41,59
0,0,53,47
59.7,66.3,61.3,38.7
79,70.8,16.2,83.8
98.8,100,74,26
0,0,44,56
0,0,16.6,83.4
0,0,41,59
4.1,11.1,66,34
0,0,53.1,46.9
7.3,2.4,85.7,14.3
58,21,79,21
0,0,64.8,35.2
8,32,95,5
0,0,53.7,46.3
89,87.7,68.3,31.7
1.8,0.3,21.4,78.6
0,0,16.3,83.7
0,0,51,49
0,0,32,68
16,13.4,52.9,47.1
8.3,6.7,24.1,75.9
70.6,52.9,51.4,48.6
0,0,67,33
85.7,91.8,89.7,10.3
96.2,93.7,91.2,8.8
96.3,91.2,84.8,15.2
0,0,33.9,66.1
6,1,51,49
96.9,98.8,83.8,16.2
0,1.6,22.8,77.2
37,23,96,4
84.3,46.7,93.9,6.1
8,22,91,9
0,0,81.1,18.9
0,0,80.9,19.1
0,0,31.9,68.1
75,66,66,34
58,62.2,61.2,38.8
12.5,13.8,38.4,61.6
88.2,87.3,66.2,33.8
95,94.9,79.6,20.4
0,0,56,44
71.4,71.2,,
93.9,92,62.1,37.9
5,23,84,16
69.4,64.3,54,46
81.7,80.6,63.6,36.4
82.4,76.8,73.6,26.4
81,81,57,43
94.1,96.7,77,23
100,100,84,16
29.8,80.2,95.9,4.1
2,6,10.2,89.8
99.3,98.7,76.7,23.3
0,0,33,67
5.1,1.6,25.7,74.3
0,0,27.3,72.7
2.3,0.6,40,60
4.2,3.3,53,47
4,3,47,53
0,0,10,90
0,0,49.1,50.9
34,23,37,63
0,0,39.1,60.9
78,70,25,75
42,41,6,94
91.3,91.7,78.3,21.7
87.6,89.9,74.2,25.8
33.5,84.2,95.2,4.8
100,100,91,9
0,0,59.4,40.6
94,96,43,57
0,0,52,48
0,0,28,72
56,55,71,29
11.8,10,82,18
90,94,68.1,31.9
45.8,54.2,31.1,68.9
0,1.1,69.8,30.2
80.7,82.7,82.4,17.6
52,48,62,38
44.7,47.2,80,20
6.8,3.3,25,75
24,12.2,66.7,33.3
0,0,51.1,48.9
71,76.2,48.9,51.1
0,0,39,61
0,0,48.5,51.5
2,7.4,39,61
4.5,1.5,20.3,79.7
0,0,37.3,62.7
100,0,96,4
0,0,23,77
0,0,94.8,5.2
0,0,29.3,70.7
0,0,49,51
56.2,67.4,43.4,56.6
30.1,40.2,87.7,12.3
62.1,40.6,81.7,18.3
91.5,75,89.4,10.6
87,86,63,37
99.6,99.6,84.1,15.9
2.5,3.3,67.9,32.1
0.3,0,47.8,52.2
3,1,11,89
22.2,27.3,45.4,54.6
14.6,4.6,39,61
93.2,85.7,87.9,12.1
59.5,61.4,73.7,26.3
21.1,24.5,71.7,28.3
0,0,44,56
0,0,40,60
3.1,0,,
19.1,12.3,52.1,47.9
82.1,81.1,88.9,11.1
78.2,77.4,81.4,18.6
23.7,46.4,44,56
6,7.1,67,33
41.5,20,65,35
73.5,70.8,29,71
71.4,21.2,95.3,4.7
0,0,25,75
15.9,8.3,44.2,55.8
14.9,37,92.9,7.1
95.3,95.6,82.9,17.1
50,52.3,53.8,46.2
94,100,89.7,10.3
65,67.3,67.6,32.4
94.8,90.7,89,11
1,1,50,50
26.7,11,64,36
0,0,,
0.1,0,60,40
99.6,99.5,81,19
30,47,86,14
0,0,50,50
41,14,50.7,49.3
96.9,95.9,83,17
54.3,52.7,61.6,38.4
69.3,73.9,72.9,27.1
0,0,18,82
0,0,15.2,84.8
0,0,66,34
46.5,24.3,35.7,64.3
6.7,7,85.1,14.9
65.8,82.5,100,0
99.8,96.7,97,3
2.4,1.6,89.9,10.1
0,0,70,30
70,71,100,0
0.1,0.1,49,51
97.3,95.7,86,14
18.1,44.4,83,17
0,0,35,65
0,0,32,68
13.3,7.5,100,0
73.8,77.7,54.5,45.5
90.3,86.8,78.6,21.4
93.7,98.1,99.4,0.6
61.1,47.6,95.6,4.4
0,0,14.4,85.6
4.6,0.5,40.5,59.5
2,0.5,65,35
0,0,50.9,49.1
4.7,0.3,17.9,82.1
53.2,37,79,21
31,35,84,16
8.2,14,78,22
0,0,20.1,79.9
100,91.6,46,54
74.3,62.5,81.7,18.3
0,0,38,62
0,0,37,63
0,0,54.4,45.6
10.7,4.4,0,100
91.9,84.2,83,17
94.9,100,80.6,19.4
99,100,86.9,13.1
87.2,89.6,73.4,26.6
27,28,51,49
63,58,64,36
3.4,0.7,80,20
100,100,50,50
65.6,49.4,,
89,92.3,31.8,68.2
3.9,4.8,54.3,45.7
0,0,27.2,72.8
0,0,,
24,18,70.7,29.3
64,70,40,60
0.2,0.1,15,85
66.5,62.8,89,11
0,0,28.6,71.4
27.2,9.9,41.6,58.4
95.7,95.4,76.4,23.6
0,0,20.9,79.1
91.1,88.1,66.9,33.1
86,83,60.1,39.9
78.8,81.4,71.8,28.2
9.5,14,55,45
0.2,0,90.4,9.6
0,0,10,90
36.1,38.6,50.5,49.5
99,98,64,36
2.8,2.2,19.3,80.7
14,3,95,5
18.8,14.3,93.2,6.8
50,61.6,34,66
0,0,73,27
77.5,70,83.9,16.1
0,0,1.7,98.3
0,0,44.3,55.7
94.2,97.1,69,31
1.3,5,79,21
0,0,19,81
94,89,75.1,24.9
88,87,75.8,24.2
17,33,67,33
94,92,61,39
63.4,58,88.5,11.5
85,60,87,13
0,0,75,25
0,0,89.6,10.4
62.5,37.5,77.5,22.5
51.1,48.9,72.9,27.1
74.4,55.1,89.1,10.9
88,88.8,75.6,24.4
0,0.4,24.6,75.4
1.8,0.7,50.7,49.3
85.9,92.7,22,78
88.9,86.3,50.7,49.3
99,86,94,6
95.4,94.2,78,22
10.5,3.6,57,43
